"data_compra,""cod_produto"",""cod_cliente"""
"2020-01-18,""000000000001100805"",""70000"""
"2020-01-17,""000000000001100805"",""70000"""
"2020-01-07,""000000000001100805"",""70000"""
"2020-01-28,""000000000001100805"",""70000"""
"2020-01-02,""000000000001100658"",""70000"""
"2020-01-03,""000000000001067328"",""70000"""
"2020-01-02,""000000000001100857"",""70000"""
"2020-01-28,""000000000001100795"",""0002419579"""
"2020-01-02,""000000000001100855"",""70000"""
"2020-01-02,""000000000001100728"",""70000"""
"2020-01-04,""000000000001118992"",""70000"""
"2020-01-06,""000000000001100862"",""70000"""
"2020-01-06,""000000000001100644"",""70000"""
"2020-01-06,""000000000001118998"",""70000"""
"2020-01-07,""000000000001118993"",""70000"""
"2020-01-08,""000000000001100677"",""70000"""
"2020-01-06,""000000000001118995"",""70000"""
"2020-01-07,""000000000001100855"",""70000"""
"2020-01-07,""000000000001100728"",""70000"""
"2020-01-11,""000000000001100851"",""70000"""
"2020-01-11,""000000000001100857"",""70000"""
"2020-01-10,""000000000001100644"",""70000"""
"2020-01-09,""000000000001100728"",""70000"""
"2020-01-10,""000000000001100658"",""70000"""
"2020-01-12,""000000000001100857"",""70000"""
"2020-01-12,""000000000001100901"",""70000"""
"2020-01-14,""000000000001118957"",""70000"""
"2020-01-15,""000000000001100733"",""70000"""
"2020-01-17,""000000000001100839"",""70000"""
"2020-01-18,""000000000001118954"",""70000"""
"2020-01-18,""000000000001118993"",""70000"""
"2020-01-20,""000000000001100823"",""70000"""
"2020-01-20,""000000000001118954"",""70000"""
"2020-01-24,""000000000001100763"",""70000"""
"2020-01-24,""000000000001100825"",""70000"""
"2020-01-24,""000000000001100644"",""70000"""
"2020-01-24,""000000000001118950"",""70000"""
"2020-01-25,""000000000001100867"",""70000"""
"2020-01-26,""000000000001119003"",""70000"""
"2020-01-02,""000000000001100857"",""70000"""
"2020-01-02,""000000000001100857"",""70000"""
"2020-01-02,""000000000001100644"",""70000"""
"2020-01-02,""000000000001100728"",""70000"""
"2020-01-02,""000000000001052523"",""70000"""
"2020-01-30,""000000000001100644"",""70000"""
"2020-01-02,""000000000001100868"",""0002414708"""
"2020-01-02,""000000000001100644"",""70000"""
"2020-01-02,""000000000001100805"",""70000"""
"2020-01-02,""000000000001100839"",""70000"""
"2020-01-02,""000000000001118963"",""70000"""
"2020-01-02,""000000000001100862"",""70000"""
"2020-01-02,""000000000001100839"",""70000"""
"2020-01-02,""000000000001052515"",""70000"""
"2020-01-02,""000000000001100763"",""70000"""
"2020-01-02,""000000000001118991"",""70000"""
"2020-01-03,""000000000001100867"",""70000"""
"2020-01-03,""000000000001100624"",""70000"""
"2020-01-04,""000000000001100807"",""70000"""
"2020-01-04,""000000000001100644"",""70000"""
"2020-01-04,""000000000001052508"",""70000"""
"2020-01-04,""000000000001118838"",""70000"""
"2020-01-04,""000000000001100862"",""70000"""
"2020-01-04,""000000000001100862"",""70000"""
"2020-01-03,""000000000001051905"",""70000"""
"2020-01-03,""000000000001100897"",""70000"""
"2020-01-03,""000000000001052490"",""70000"""
"2020-01-03,""000000000001100898"",""70000"""
"2020-01-03,""000000000001100805"",""70000"""
"2020-01-03,""000000000001051967"",""70000"""
"2020-01-03,""000000000001100795"",""70000"""
"2020-01-05,""000000000001100857"",""70000"""
"2020-01-04,""000000000001100857"",""70000"""
"2020-01-04,""000000000001100839"",""70000"""
"2020-01-04,""000000000001100848"",""70000"""
"2020-01-04,""000000000001100763"",""70000"""
"2020-01-05,""000000000001100867"",""70000"""
"2020-01-05,""000000000001100897"",""70000"""
"2020-01-05,""000000000001100839"",""70000"""
"2020-01-05,""000000000001100839"",""70000"""
"2020-01-06,""000000000001100620"",""70000"""
"2020-01-06,""000000000001100897"",""70000"""
"2020-01-06,""000000000001100839"",""70000"""
"2020-01-06,""000000000001100839"",""70000"""
"2020-01-06,""000000000001052515"",""70000"""
"2020-01-07,""000000000001100897"",""70000"""
"2020-01-07,""000000000001052508"",""70000"""
"2020-01-07,""000000000001052484"",""70000"""
"2020-01-07,""000000000001052515"",""70000"""
"2020-01-07,""000000000001052497"",""70000"""
"2020-01-07,""000000000001052497"",""70000"""
"2020-01-07,""000000000001052502"",""70000"""
"2020-01-07,""20103041"",""70000"""
"2020-01-07,""000000000001118955"",""70000"""
"2020-01-05,""000000000001100687"",""70000"""
"2020-01-08,""000000000001100901"",""70000"""
"2020-01-08,""000000000001052497"",""70000"""
"2020-01-08,""20103041"",""70000"""
"2020-01-08,""000000000001118875"",""70000"""
"2020-01-09,""000000000001100839"",""70000"""
"2020-01-09,""000000000001100839"",""70000"""
"2020-01-09,""000000000001118994"",""70000"""
"2020-01-09,""000000000001118996"",""70000"""
"2020-01-10,""000000000001100970"",""70000"""
"2020-01-10,""000000000001100868"",""70000"""
"2020-01-10,""000000000001100972"",""70000"""
"2020-01-10,""000000000001100839"",""70000"""
"2020-01-10,""000000000001100901"",""0002460179"""
"2020-01-10,""20103041"",""70000"""
"2020-01-11,""000000000001100897"",""70000"""
"2020-01-11,""000000000001100857"",""70000"""
"2020-01-11,""000000000001051964"",""70000"""
"2020-01-11,""000000000001100839"",""70000"""
"2020-01-11,""000000000001100862"",""70000"""
"2020-01-11,""000000000001100862"",""70000"""
"2020-01-21,""000000000001100825"",""70000"""
"2020-01-12,""000000000001100677"",""70000"""
"2020-01-12,""000000000001100687"",""70000"""
"2020-01-13,""000000000001100867"",""70000"""
"2020-01-04,""000000000001100839"",""70000"""
"2020-01-06,""000000000001100897"",""70000"""
"2020-01-06,""000000000001100644"",""70000"""
"2020-01-06,""000000000001100839"",""70000"""
"2020-01-06,""000000000001052515"",""70000"""
"2020-01-06,""000000000001052497"",""70000"""
"2020-01-06,""20103041"",""70000"""
"2020-01-06,""000000000001119042"",""70000"""
"2020-01-06,""000000000001118945"",""70000"""
"2020-01-06,""000000000001100862"",""70000"""
"2020-01-06,""000000000001100862"",""70000"""
"2020-01-13,""000000000001100897"",""70000"""
"2020-01-13,""000000000001100857"",""70000"""
"2020-01-13,""000000000001052523"",""70000"""
"2020-01-13,""000000000001100639"",""70000"""
"2020-01-13,""000000000001118959"",""70000"""
"2020-01-07,""000000000001067328"",""0002416996"""
"2020-01-15,""000000000001052521"",""0002408683"""
"2020-01-15,""000000000001100687"",""70000"""
"2020-01-06,""000000000001100793"",""70000"""
"2020-01-07,""000000000001100867"",""70000"""
"2020-01-07,""000000000001100897"",""70000"""
"2020-01-07,""000000000001100897"",""70000"""
"2020-01-07,""000000000001051894"",""70000"""
"2020-01-07,""000000000001052498"",""70000"""
"2020-01-07,""000000000001052512"",""70000"""
"2020-01-20,""000000000001100805"",""70000"""
"2020-01-16,""000000000001100805"",""70000"""
"2020-01-18,""000000000001118996"",""70000"""
"2020-01-09,""000000000001100857"",""70000"""
"2020-01-10,""000000000001118954"",""70000"""
"2020-01-13,""000000000001100687"",""70000"""
"2020-01-14,""000000000001100857"",""70000"""
"2020-01-14,""000000000001100823"",""70000"""
"2020-01-14,""000000000001100839"",""70000"""
"2020-01-14,""000000000001100901"",""70000"""
"2020-01-08,""000000000001100728"",""70000"""
"2020-01-08,""000000000001100777"",""70000"""
"2020-01-12,""000000000001118997"",""70000"""
"2020-01-12,""000000000001118991"",""70000"""
"2020-01-14,""000000000001100851"",""70000"""
"2020-01-14,""000000000001100687"",""70000"""
"2020-01-15,""000000000001052513"",""70000"""
"2020-01-15,""000000000001100897"",""70000"""
"2020-01-15,""000000000001051988"",""70000"""
"2020-01-15,""000000000001100839"",""70000"""
"2020-01-15,""000000000001100839"",""70000"""
"2020-01-15,""000000000001052515"",""70000"""
"2020-01-15,""000000000001100777"",""70000"""
"2020-01-21,""000000000001100674"",""70000"""
"2020-01-02,""000000000001100839"",""70000"""
"2020-01-08,""000000000001119037"",""70000"""
"2020-01-14,""000000000001100687"",""70000"""
"2020-01-16,""000000000001100855"",""70000"""
"2020-01-16,""000000000001100728"",""70000"""
"2020-01-13,""000000000001100674"",""92409"""
"2020-01-23,""000000000001100674"",""92409"""
"2020-01-30,""000000000001100805"",""70000"""
"2020-01-22,""000000000001100658"",""70000"""
"2020-01-23,""000000000001118991"",""70000"""
"2020-01-23,""000000000001118995"",""70000"""
"2020-01-16,""000000000001100897"",""70000"""
"2020-01-16,""000000000001100868"",""0002416914"""
"2020-01-16,""000000000001052515"",""70000"""
"2020-01-09,""000000000001051964"",""70000"""
"2020-01-09,""000000000001100839"",""70000"""
"2020-01-05,""000000000001067328"",""70000"""
"2020-01-26,""000000000001100897"",""70000"""
"2020-01-27,""000000000001118957"",""70000"""
"2020-01-18,""000000000001100644"",""70000"""
"2020-01-19,""000000000001100893"",""70000"""
"2020-01-19,""000000000001100823"",""70000"""
"2020-01-19,""000000000001100823"",""70000"""
"2020-01-17,""000000000001052521"",""70000"""
"2020-01-17,""000000000001100677"",""70000"""
"2020-01-17,""000000000001100897"",""70000"""
"2020-01-17,""000000000001100823"",""70000"""
"2020-01-17,""000000000001052498"",""70000"""
"2020-01-17,""000000000001100644"",""70000"""
"2020-01-17,""000000000001052508"",""70000"""
"2020-01-17,""000000000001100624"",""70000"""
"2020-01-17,""000000000001100839"",""70000"""
"2020-01-17,""000000000001100777"",""70000"""
"2020-01-06,""000000000001100677"",""70000"""
"2020-01-06,""000000000001119018"",""70000"""
"2020-01-29,""000000000001100621"",""70000"""
