ITEM_ID,COD_DEPARTAMENTO,COD_SEGMENTO
20138688,3,4
20136173,3,4
20136480,3,4
20046632,3,4
20049085,3,4
39569500,3,4
20138583,3,4
20138809,3,4
20139198,3,4
20136403,3,4
20138568,3,4
24056100,3,4
20169124,3,3
20134941,3,4
22940100,3,4
20137106,3,4
50250800,2,2
20127259,3,4
24152200,3,4
51157200,2,2
52380200,2,2
20070487,3,8
51135500,2,4
52099500,2,2
20054840,3,4
50637000,2,2
50610200,2,5
50267145,2,2
51340948,2,2
20127229,3,4
51320600,2,5
20129777,3,4
20134927,3,4
50555358,2,2
50521700,2,2
20037519,3,4
20127277,3,4
20083621,3,8
50691400,2,2
50695500,2,2
20037058,3,4
51182700,2,4
51066500,2,2
20000769,3,8
51353738,2,2
20136484,3,4
50762644,2,2
20136348,3,4
51105840,2,2
50632400,2,5
51282100,2,2
50853600,2,5
29370100,3,4
20065556,3,4
20129223,3,4
20134821,3,4
50190000,2,2
24094800,3,4
50517000,2,2
50443200,2,2
20016738,3,4
51479899,2,2
50315700,2,2
50435800,2,2
50651243,2,2
51364600,2,4
20080180,3,8
20136588,3,4
20128102,3,4
50711800,2,2
51220700,2,4
20027142,3,4
20159449,3,4
20131888,3,4
51496600,2,2
51656300,2,2
50269542,2,2
20135093,3,4
51215400,2,4
20129307,3,4
20065214,3,8
50120500,2,2
20105374,3,4
51165600,2,2
20049309,3,4
51198200,2,4
51135600,2,4
20135207,3,4
52243700,2,2
50283200,2,2
27854700,3,4
50682135,2,2
20039996,3,4
20085137,3,4
53957100,2,2
50344300,2,2
42047600,5,2
20037586,3,4
20137895,3,4
20135895,3,4
20134915,3,4
51339332,2,2
20135949,3,4
20064603,3,4
51227400,2,4
50698900,2,2
51136000,2,4
51209700,2,4
20008175,3,4
20054816,3,4
50015200,2,2
50658100,2,2
50652138,2,2
50282800,2,2
20015457,3,4
51228400,2,4
20057640,3,4
50354244,2,2
20077357,3,4
50758538,2,2
51233500,2,5
50770200,2,5
50547500,2,2
50408900,2,2
50524900,2,2
20118300,3,8
51638400,2,4
20046211,3,4
20135917,3,4
51223900,2,4
20042201,3,4
20041032,3,4
20056300,3,4
50428841,2,2
51285000,2,2
20058917,3,8
24180500,3,4
20038335,3,4
20065092,3,9
50428643,2,2
20059427,3,4
51354928,2,2
20084449,3,4
50707834,2,2
20073072,3,9
51496300,2,2
50651941,2,2
50524500,2,2
51434900,2,5
53134700,2,3
50403500,2,3
20054451,3,4
20066568,3,4
20135897,3,4
51208803,2,4
20081511,3,4
50257441,2,2
20137903,3,4
24355600,3,4
20008137,3,8
50568300,2,2
20137229,3,4
20138724,3,4
20135694,3,4
50248500,2,2
50697500,2,2
20003119,3,4
20077850,3,4
50133500,2,2
50293200,2,5
51286100,2,2
51360600,2,4
20081995,3,4
40372700,2,2
50555259,2,2
